SITE_ID,SITE_NUM,SITE_NAME,ACTIVE,INACTIVE,AGENCY,STATE,COUNTY,TIME_ZONE,LATITUDE,LONGITUDE,ELEVATION,MAPID,LAND_USE,TERRAIN,MLM,NADP_ID,NADP_DISTANCE,UPDATE_DATE
ABT147,147,Abington,domp,w,EPA,CT,Windham,EA,41.84046,-72.010368,202,"Hampton, CT",Urban/Agric,Rolling,Mixed,CT15,.056,"2020-01-30 13:25:29"
ACA416,416,"Acadia NP",dom,,NPS,ME,Hancock,EA,44.377086,-68.2608,158,,Forest,Rolling,Mixed,ME98,.013,"2020-01-30 13:25:29"
ALC188,188,"Alabama-Coushatta Tribe of Texas",dom,,EPA,TX,Polk,CE,30.701577,-94.674011,105,,Prairie,Rolling,Yes,TX10,191.334,"2020-01-30 13:25:29"
ALH157,157,Alhambra,domp,w,EPA,IL,Madison,CE,38.869001,-89.622815,164,"Pocohantas, IL",Agric,Flat,Yes,IL46,.08,"2020-01-30 13:25:29"
ALH257,257,"Alhambra Collocated",,domw,EPA,IL,Madison,CE,38.869001,-89.622815,164,,Agric,Flat,Yes,IL46,.08,"2020-01-30 13:25:29"
ALH557,557,"Alhambra Aerosol",,a,EPA,IL,Madison,CE,38.869001,-89.622815,164,"Pocahontas, IL",Agric,Flat,,IL46,.08,"2020-01-30 13:25:29"
ANA115,115,"Ann Arbor",domp,w,EPA,MI,Washtenaw,EA,42.416636,-83.90218,266,"Pinckney, MI",Forest,Flat,Mixed,MI52,.035,"2020-01-30 13:25:29"
ANL146,146,"Argonne NL",,dom,EPA,IL,DuPage,CE,41.7,-87.99,229,"Sag Bridge, IL",Urban/Agric,Rolling,Mixed,IN34,75.493,"2020-01-30 13:25:29"
ARE128,128,Arendtsville,domp,w,EPA,PA,Adams,EA,39.923241,-77.307863,266,"Arendtsville, PA",Agric,Rolling,Mixed,PA00,.017,"2020-01-30 13:25:29"
ARE228,228,"Arendtsville Collocated",,domw,EPA,PA,Adams,EA,39.923241,-77.307863,266,"Arendtsville, PA",Forest,Rolling,Mixed,PA00,.017,"2020-01-30 13:25:29"
ARE528,528,"Arendtsville Aerosol",,ain,EPA,PA,Adams,EA,39.923241,-77.307863,266,"Arendtsville, PA",Agric,Rolling,,PA00,.017,"2020-01-30 13:25:29"
ASH135,135,Ashland,dom,,EPA,ME,Aroostook,EA,46.603832,-68.413227,231,"Squa Pan, ME",Agric,Flat,Yes,ME00,42.343,"2020-01-30 13:25:29"
ASH235,235,"Ashland Collocated",,dom,EPA,ME,Aroostook,EA,46.603832,-68.413227,231,"Squa Pan, ME",Agric,Flat,Yes,ME00,42.343,"2020-01-30 13:25:29"
BAS601,601,Basin,dom,,BLM,WY,"Big Horn",MO,44.28,-108.0411,1242,,Prairie,Rolling,Mixed,MT00,151.068,"2020-01-30 13:25:29"
BBE401,401,"Big Bend NP",dom,,NPS,TX,Brewster,CE,29.302651,-103.177813,1052,,Forest,Complex,Mixed,TX04,.033,"2020-01-30 13:25:29"
BEL116,116,Beltsville,dom,t,EPA,MD,"Prince George's",EA,39.028177,-76.817127,47,"Laurel, MD",Range,Flat,Mixed,MD99,.02,"2020-01-30 13:25:29"
BEL216,216,"Beltsville Collocated",,r,EPA,MD,"Prince George's",EA,39.028177,-76.817127,47,"Laurel, MD",Range,Flat,Mixed,MD99,.02,"2020-01-30 13:25:29"
BFT142,142,Beaufort,domp,w,EPA,NC,Carteret,EA,34.884668,-76.620666,5,,Agric,Flat,Yes,NC06,.008,"2020-01-30 13:25:29"
BUF603,603,Buffalo,dm,,BLM,WY,Johnson,MO,44.1442,-106.1089,1324,,Prairie,Rolling,Mixed,WY99,156.67,"2020-01-30 13:25:29"
BVL130,130,Bondville,domt,,EPA,IL,Champaign,CE,40.051981,-88.372495,213,"Bondville, IL",Agric,Flat,Yes,IL11,.104,"2020-01-30 13:25:29"
BVL530,530,"Bondville Aerosol",,a,EPA,IL,Champaign,CE,40.051981,-88.372495,213,"Bondville, IL",Agric,Flat,,IL11,.104,"2020-01-30 13:25:29"
BWR139,139,"Blackwater NWR",dom,,EPA,MD,Dorchester,EA,38.444971,-76.111274,1,,Forest/Marsh,Coastal,Mixed,MD15,50.673,"2020-01-30 13:25:29"
CAD150,150,"Caddo Valley",dom,,EPA,AR,Clark,CE,34.179278,-93.098755,78,"Caddo Valley, AR",Forest,Complex,No,AR03,.048,"2020-01-30 13:25:29"
CAN407,407,"Canyonlands NP",dom,,NPS,UT,"San Juan",MO,38.458323,-109.82126,1809,,Desert,Complex,Mixed,UT09,.024,"2020-01-30 13:25:29"
CAT175,175,Claryville,dm,o,EPA,NY,Ulster,EA,41.942325,-74.551999,754,,Forest,Complex,No,NY68,6.99,"2020-01-30 13:25:29"
CDR119,119,"Cedar Creek",domp,w,EPA,WV,Gilmer,EA,38.879503,-80.847677,240,"Glenville, WV",Forest,Complex,No,WV05,.013,"2020-01-30 13:25:29"
CDZ171,171,Cadiz,dom,,EPA,KY,Trigg,CE,36.784053,-87.85015,190,"7.5 min. Topo Cadiz, KY",Agric,Rolling,Yes,KY99,19.56,"2020-01-30 13:25:29"
CDZ571,571,"Cadiz Aerosol",,ain,EPA,KY,Trigg,CE,36.784053,-87.85015,190,"7.5 min. Topo Cadiz, KY",Agric,Rolling,,KY99,19.56,"2020-01-30 13:25:29"
CHA267,267,"Chiricahua NM Collocated",,dom,EPA,AZ,Cochise,MOno,32.009405,-109.389058,1569,,Range,Complex,No,AZ98,.036,"2020-01-30 13:25:29"
CHA467,467,"Chiricahua NM",domp,w,NPS,AZ,Cochise,MOno,32.009405,-109.389058,1570,"Bowie Mountain South, AZ",Range,Complex,No,AZ98,.036,"2020-01-30 13:25:29"
CHC432,432,"Chaco Culture NHP",omt,,NPS,NM,"San Juan",MO,36.035,-107.9042,1965,,Desert,Complex,No,CO99,139.315,"2020-01-30 13:25:29"
CHE185,185,"Cherokee Nation",dom,,EPA,OK,Adair,CE,35.750786,-94.669789,305,,Agric,Rolling,Yes,AR27,59.29,"2020-01-30 13:25:29"
CKT136,136,Crockett,dom,,EPA,KY,Morgan,EA,37.92146,-83.066295,376,"Dingus, KY",Agric,Rolling,Mixed,KY35,47.522,"2020-01-30 13:25:29"
CLD303,303,"Clingmans Dome MADPro",,dmc,EPA,TN,Sevier,EA,35.5631,-83.4986,2014,,Forest,Complex,No,TN11,13.986,"2020-01-30 13:25:29"
CND125,125,Candor,dom,w,EPA,NC,Montgomery,EA,35.26333,-79.83754,172,"Biscoe, NC",Forest,Rolling,Mixed,NC36,43.025,"2020-01-30 13:25:29"
CNT169,169,Centennial,dom,,EPA,WY,Albany,MO,41.364531,-106.24002,3175,"Centennial, WY",Forest,Complex,Mixed,WY95,.068,"2020-01-30 13:25:29"
CON186,186,"Converse Station",,dom,EPA,CA,"San Bernardino",PA,34.194048,-116.912977,1718,"Big Bear Lake",Forest/Arid,Complex,No,CA94,.03,"2020-01-30 13:25:29"
COW005,5,"Coweeta Screwdriver Knob",,dm,EPA,NC,Macon,EA,35.04826,-83.45428,960,,Forest,Complex,No,NC25,2.559,"2020-01-30 13:25:29"
COW137,137,Coweeta,dom,,EPA,NC,Macon,EA,35.060527,-83.43034,683,"Prentiss, NC",Forest,Complex,No,NC25,.015,"2020-01-30 13:25:29"
COW182,182,"Coweeta Special",,d,EPA,NC,Macon,EA,35.060527,-83.43034,683,,Forest,Complex,No,NC25,.015,"2020-01-30 13:25:29"
CRM435,435,"Craters of the Moon NM and Preserve",om,,NPS,ID,Butte,MO,43.4606,-113.5622,,,Desert,Rolling,,ID03,.575,"2020-01-30 13:25:29"
CTH110,110,"Connecticut Hill",dom,w,EPA,NY,Tompkins,EA,42.400875,-76.653516,511,"Mecklenberg, NY",Forest,Rolling,No,NY67,.447,"2020-01-30 13:25:29"
CTH510,510,"Connecticut Hill Aerosol",,ain,EPA,NY,Tompkins,EA,42.400875,-76.653516,511,"Mecklenberg, NY",Forest,Rolling,,NY67,.447,"2020-01-30 13:25:29"
CVL151,151,Coffeeville,dom,,EPA,MS,Yalobusha,CE,34.002747,-89.799183,138,"Coker Lake, MS",Forest,Rolling,Mixed,MS30,.029,"2020-01-30 13:25:29"
DCP114,114,"Deer Creek",domp,w,EPA,OH,Fayette,EA,39.635888,-83.260563,264,"Mount Sterling, OH",Agric,Rolling,Yes,OH54,.003,"2020-01-30 13:25:29"
DCP214,214,"Deer Creek Collocated",,dom,EPA,OH,Fayette,EA,39.635888,-83.260563,264,,Agric,Rolling,Yes,OH54,.003,"2020-01-30 13:25:29"
DEN417,417,"Denali NP",dom,,NPS,AK,Denali,AL,63.7232,-148.9676,661,,Forest,Complex,No,AK03,0,"2020-01-30 13:25:29"
DEV412,412,"Death Valley NM",om,d,NPS,CA,Inyo,PA,36.5089,-116.8478,125,,Desert,Complex,No,CA75,172.959,"2020-01-30 13:25:29"
DIN431,431,"Dinosaur NM",dom,,NPS,UT,Uintah,MO,40.4373,-109.3046,1463,,Desert,Complex,No,UT95,37.794,"2020-01-30 13:25:29"
DUK008,8,"Duke Forest",domt,,EPA,NC,Orange,EA,35.9745,-79.099,164,,Forest,Rolling,No,NC41,46.63,"2020-01-30 13:25:29"
EGB181,181,Egbert,dm,,EPA,ON,,EA,44.231071,-79.783115,227,,Agric,Rolling,Yes,NY92,159.95,"2020-01-30 13:25:29"
EGB281,281,"Egbert Collocated",,d,EPA,ON,,EA,44.231071,-79.783115,227,,Agric,Rolling,Yes,NY92,159.95,"2020-01-30 13:25:29"
ESP127,127,"Edgar Evins",dom,,EPA,TN,DeKalb,CE,36.03893,-85.73305,302,"Silver Point, TN",Forest,Rolling,No,KY10,126.823,"2020-01-30 13:25:29"
EVE419,419,"Everglades NP",dm,o,NPS,FL,Miami-Dade,EA,25.391223,-80.680819,2,,Forest/Marsh,Flat,Yes,FL11,.159,"2020-01-30 13:25:29"
FOR605,605,"Fortification Creek",dm,,BLM,WY,Campbell,MO,44.3395,-105.9198,1408,,Prairie,Rolling,Mixed,WY99,147.744,"2020-01-30 13:25:29"
GAS153,153,"Georgia Station",dom,,EPA,GA,Pike,EA,33.181173,-84.410054,265,"Hollonville, GA",Agric,Rolling,Mixed,GA41,.078,"2020-01-30 13:25:29"
GAS253,253,"Georgia Station Collocated",,dom,EPA,GA,Pike,EA,33.181173,-84.410054,265,,Agric,Rolling,Mixed,GA41,.078,"2020-01-30 13:25:29"
GLR468,468,"Glacier NP",dom,,NPS,MT,Flathead,MO,48.510301,-113.996807,976,"Lake McDonald West, MT",Forest,Complex,No,MT05,.018,"2020-01-30 13:25:29"
GRB411,411,"Great Basin NP",dom,,NPS,NV,"White Pine",PA,39.005121,-114.215932,2060,,Forest,Complex,No,NV05,.098,"2020-01-30 13:25:29"
GRC474,474,"Grand Canyon NP",dom,,NPS,AZ,Coconino,MOno,36.058642,-112.183575,2073,"Grand Canyon",Forest,Rolling,Mixed,AZ03,.039,"2020-01-30 13:25:29"
GRS420,420,"Great Smoky NP - Look Rock",domt,,NPS,TN,Blount,EA,35.633482,-83.941606,793,,Forest,Complex,No,TN11,32,"2020-01-30 13:25:29"
GRT434,434,"Grand Teton NP",om,,NPS,WY,Teton,MO,43.6708,-110.5995,2105,,Forest,Rolling,No,WY94,19.813,"2020-01-30 13:25:29"
GTH161,161,Gothic,domp,w,EPA,CO,Gunnison,MO,38.95627,-106.98587,2915,"Gothic, CO",Range,Complex,No,CO10,.022,"2020-01-30 13:25:29"
HBR183,183,"Hubbard Brook Special",,d,EPA,NH,Grafton,EA,43.95,-71.7,322,,Forest,Complex,No,NH02,.78,"2020-01-30 13:25:29"
HOW132,132,Howland,,dom,EPA,ME,Penobscot,EA,45.215607,-68.70851,66,"Howland, ME",Forest,Rolling,Yes,ME09,80.859,"2020-01-30 13:25:29"
HOW191,191,"Howland Ameriflux",,dom,EPA,ME,Penobscot,EA,45.203963,-68.740041,68,,Forest,Rolling,No,ME09,79.091,"2020-01-30 13:25:29"
HOX148,148,Hoxeyville,dom,,EPA,MI,Wexford,EA,44.18089,-85.73898,297,"Wellston, MI",Forest,Flat,Yes,MI53,7.979,"2020-01-30 13:25:29"
HVT424,424,"Hawaii Volcanoes NP",,dom,NPS,HI,Hawaii,HAno,19.4197,-155.24,1199,,Forest/Tropical,Complex,No,CA45,3773.537,"2020-01-30 13:25:29"
HWF187,187,"Huntington Wildlife Forest",domt,,EPA,NY,Essex,EA,43.973044,-74.223317,497,Newcomb,Forest,Complex,No,NY20,.018,"2020-01-30 13:25:29"
IRL141,141,"Indian River Lagoon",dom,,EPA,FL,"Indian River",EA,27.849215,-80.455595,2,,Coastal/Marsh,Flat/Water,Yes,FL41,187.731,"2020-01-30 13:25:29"
JOT403,403,"Joshua Tree NP",dom,,NPS,CA,"San Bernardino",PA,34.069569,-116.388933,1244,,Desert,Complex,No,CA67,.008,"2020-01-30 13:25:29"
KEF112,112,"Kane Exp. Forest",dom,,EPA,PA,Elk,EA,41.598119,-78.767866,618,"James City, PA",Forest,Rolling,Yes,PA29,.047,"2020-01-30 13:25:29"
KIC003,3,"Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas",dm,,EPA,KS,Brown,CE,39.8539,-95.6578,367,,Prairie,Rolling,Yes,KS97,10.562,"2020-01-30 13:25:29"
KNZ184,184,"Konza Prairie",dm,o,EPA,KS,Riley,CE,39.10216,-96.609583,346,,Prairie,Flat,Yes,KS31,.033,"2020-01-30 13:25:29"
KVA428,428,"Kobuk Valley NP",,dm,NPS,AK,,AL,67.0931,-157.8689,88,,,,,AK96,386.969,"2020-01-30 13:25:29"
LAV410,410,"Lassen Volcanic NP",dom,,NPS,CA,Shasta,PA,40.539991,-121.576462,1756,,Forest,Complex,No,CA96,.127,"2020-01-30 13:25:29"
LCW121,121,"Lilley C. Woods",,dom,EPA,KY,Letcher,EA,37.13,-82.99,335,"Roxana, KY",Agric,Rolling,Mixed,KY22,5.802,"2020-01-30 13:25:29"
LIV573,573,"Livonia Aerosol",,ai,EPA,IN,Washington,EAno,38.5347,-86.2608,299,,Agric,Rolling,,KY19,62.924,"2020-01-30 13:25:29"
LRL117,117,"Laurel Hill",dom,,EPA,PA,Somerset,EA,39.988309,-79.251573,609,"Rockwood, PA",Forest,Complex,No,MD08,37.511,"2020-01-30 13:25:29"
LYE145,145,"Lye Brook",,domw,EPA,VT,Bennington,EA,43.050884,-73.061334,725,"Sunderland, VT",Forest,Mountaintop,No,VT01,21.124,"2020-01-30 13:25:29"
LYK123,123,Lykens,,domwp,EPA,OH,Crawford,EA,40.916981,-82.998206,303,"Chatfield, OH",Agric,Flat,Mixed,OH17,62.615,"2020-01-30 13:25:29"
MAC426,426,"Mammoth Cave NP",domt,,NPS,KY,Edmonson,EA,37.131794,-86.142953,243,,Agric,Rolling,Mixed,KY10,.449,"2020-01-30 13:25:29"
MCK131,131,Mackville,dom,,EPA,KY,Washington,EA,37.704678,-85.048706,293,"Mackville, KY",Agric,Rolling,Mixed,KY03,.017,"2020-01-30 13:25:29"
MCK231,231,"Mackville Collocated",dom,,EPA,KY,Washington,EA,37.704678,-85.048706,293,"Mackville, KY",Agric,Rolling,Mixed,KY03,.017,"2020-01-30 13:25:29"
MEV405,405,"Mesa Verde NP",dom,,NPS,CO,Montezuma,MO,37.198398,-108.490462,2165,,Forest,Complex,No,CO99,.073,"2020-01-30 13:25:29"
MKG113,113,"M.K. Goddard",dom,,EPA,PA,Mercer,EA,41.426847,-80.145247,377,"Hadley, PA",Forest,Rolling,No,PA30,81.008,"2020-01-30 13:25:29"
MKG513,513,"M.K. Goddard Aerosol",,ai,EPA,PA,Mercer,EA,41.426847,-80.145247,377,"Hadley, PA",Forest,Rolling,,PA30,81.008,"2020-01-30 13:25:29"
MOR409,409,"Mount Rainier NP",,dom,NPS,WA,Pierce,PA,46.75838,-122.12429,415,,Forest,Complex,No,WA99,.02,"2020-01-30 13:25:29"
NCS415,415,"North Cascades NP",,dom,NPS,WA,Skagit,PA,48.54051,-121.445652,109,,Forest,Complex,No,WA19,.035,"2020-01-30 13:25:29"
NEC602,602,Newcastle,dom,,BLM,WY,Weston,MO,43.873,-104.1919,1468,,Prairie,Rolling,Mixed,WY99,.016,"2020-01-30 13:25:29"
NIC001,1,"Nicks Lake",dm,,EPA,NY,Herkimer,EA,43.6805,-74.9891,525,,Forest,Rolling,No,NY94,.562,"2020-01-30 13:25:29"
NPT006,6,"Nez Perce Tribe",dom,,EPA,ID,Idaho,PA,46.2756,-116.0216,945,,Forest,Rolling,Mixed,WA24,104.271,"2020-01-30 13:25:29"
OLY421,421,"Olympic NP",,dom,NPS,WA,Clallam,PA,48.0975,-123.4256,125,,Forest,Complex,No,WA14,46.165,"2020-01-30 13:25:29"
ONL102,102,"Oak Ridge",,dom,EPA,TN,Anderson,EA,35.96,-84.29,341,,Forest,Rolling,Yes,TN04,70.226,"2020-01-30 13:25:29"
OXF122,122,Oxford,dom,,EPA,OH,Butler,EA,39.531115,-84.723547,284,"Oxford, OH",Agric,Rolling,No,OH09,.032,"2020-01-30 13:25:29"
PAL190,190,"Palo Duro",dom,,EPA,TX,Randall,CE,34.88061,-101.664703,1053,,Prairie,Complex,Mixed,TX43,.073,"2020-01-30 13:25:29"
PAR107,107,Parsons,dom,,EPA,WV,Tucker,EA,39.090434,-79.661742,510,"Parsons, WV",Forest,Complex,No,WV18,.091,"2020-01-30 13:25:29"
PAR207,207,"Parsons Collocated",,dom,EPA,WV,Tucker,EA,39.090434,-79.661742,510,,Forest,Complex,No,WV18,.091,"2020-01-30 13:25:29"
PBF129,129,Perryville,,dom,EPA,KY,Boyle,EA,37.68,-84.97,279,,Agric,Rolling,Mixed,KY03,7.479,"2020-01-30 13:25:29"
PED108,108,"Prince Edward",domp,w,EPA,VA,"Prince Edward",EA,37.165222,-78.307067,149,"Green Bay, VA",Forest,Rolling,Mixed,VA24,.021,"2020-01-30 13:25:29"
PET427,427,"Petrified Forest",dom,,NPS,AZ,Navajo,MOno,34.822508,-109.892485,1723,,Desert,Flat,No,AZ97,.012,"2020-01-30 13:25:29"
PIN414,414,"Pinnacles NM",dom,,NPS,CA,"San Benito",PA,36.483235,-121.156876,335,,Forest,Complex,No,CA66,.021,"2020-01-30 13:25:29"
PND165,165,Pinedale,domt,,EPA,WY,Sublette,MO,42.929031,-109.787796,2386,"Freemont Lake South, WY",Forest,Rolling,Mixed,WY06,.024,"2020-01-30 13:25:29"
PNF126,126,Cranberry,domt,w,EPA,NC,Avery,EA,36.105435,-82.045015,1216,"Carber's Gap, NC",Forest,Mountaintop,Mixed,NC45,46.477,"2020-01-30 13:25:29"
POF425,425,"Poker Flats - Yukon Flats NM",,dm,NPS,AK,"Fairbanks North Star",AL,65.1178,-147.4333,495,"Livengood, AK",Forest,Complex,No,AK01,4.953,"2020-01-30 13:25:29"
PRK134,134,Perkinstown,domp,w,EPA,WI,Taylor,CE,45.206525,-90.597209,462,"Perkinstown, WI",Agric,Rolling,Mixed,WI35,.048,"2020-01-30 13:25:29"
PSU106,106,"Penn State",dom,,EPA,PA,Centre,EA,40.720902,-77.931759,364,"Pine Grove Mills, PA",Agric,Rolling,Mixed,PA42,7.073,"2020-01-30 13:25:29"
QAK172,172,"Quaker City",dom,,EPA,OH,Noble,EA,39.942714,-81.337914,371,,Agric,Rolling,Mixed,OH49,23.458,"2020-01-30 13:25:29"
QAK272,272,"Quaker City Collocated",,a,EPA,OH,Noble,EA,39.942714,-81.337914,371,,Agric,Rolling,,OH49,23.458,"2020-01-30 13:25:29"
QAK572,572,"Quaker City Aerosol",,ain,EPA,OH,Noble,EA,39.942714,-81.337914,371,,Agric,Rolling,,OH49,23.458,"2020-01-30 13:25:29"
RCK163,163,"Reynolds Creek",,dom,EPA,ID,Owyhee,MO,43.21,-116.75,1198,"Silver City, ID",Range,Rolling,Mixed,ID11,.567,"2020-01-30 13:25:29"
RCK263,263,"Reynolds Creek Collocated",,dom,EPA,ID,Owyhee,MO,43.21,-116.75,1198,,Range,Rolling,Mixed,ID11,.567,"2020-01-30 13:25:29"
RED004,4,"Red Lake Band of Chippewa Indians, Minnesota",dm,,EPA,MN,Beltrami,CE,47.8638,-94.8352,372,,Forest,Flat,Yes,MN16,109.042,"2020-01-30 13:25:29"
ROM206,206,"Rocky Mtn NP Collocated",domt,,EPA,CO,Larimer,MO,40.278129,-105.545635,2742,,Forest,Complex,No,CO19,9.987,"2020-01-30 13:25:29"
ROM406,406,"Rocky Mtn NP",dom,,NPS,CO,Larimer,MO,40.278129,-105.545635,2743,,Forest,Complex,No,CO19,9.987,"2020-01-30 13:25:29"
RTP101,101,"Res. Triangle Pk.",,domr,EPA,NC,Durham,EA,35.91,-78.88,91,,Urban,Rolling,No,NC41,27.023,"2020-01-30 13:25:29"
SAL133,133,"Salamonie Reservoir",dom,,EPA,IN,Wabash,EAno,40.816038,-85.661407,250,"Lagro, IN",Agric,Flat,Yes,IN20,16.873,"2020-01-30 13:25:29"
SAN189,189,"Santee Sioux Nation, Nebraska",dom,,EPA,NE,Knox,CE,42.829154,-97.854128,434,,Range,Rolling,Yes,SD99,173.171,"2020-01-30 13:25:29"
SAV164,164,"Saval Ranch",,dom,EPA,NV,Elko,PA,41.29,-115.86,1873,"Mahala Creek East, NV",Forest,Rolling,Mixed,ID11,225.024,"2020-01-30 13:25:29"
SCR180,180,"Scotia Range",,dmw,EPA,PA,Centre,EA,40.7884,-77.9464,376,"Pine Grove Mills, PA",Forest,Rolling,,PA15,.052,"2020-01-30 13:25:29"
SEK402,402,"Sequoia NP - Lookout Pt",,dom,NPS,CA,Tulare,PA,36.4292,-118.7625,1225,,Forest,Mountaintop,No,CA75,15.255,"2020-01-30 13:25:29"
SEK430,430,"Sequoia NP - Ash Mountain",dom,,NPS,CA,Tulare,PA,36.489469,-118.829153,510,,Forest,Mountaintop,No,CA75,9.659,"2020-01-30 13:25:29"
SHE604,604,Sheridan,dm,,BLM,WY,Sheridan,MO,44.93,-106.85,1115,,Prairie,Rolling,Mixed,MT00,84.802,"2020-01-30 13:25:29"
SHN418,418,"Shenandoah NP - Big Meadows",dom,,NPS,VA,Madison,EA,38.5231,-78.43471,1073,"Big Meadows, VA",Forest,Mountaintop,Mixed,VA28,.008,"2020-01-30 13:25:29"
SHN518,518,"Shenandoah NP - Big Meadows Aerosol",,a,EPA,VA,Madison,EA,38.5231,-78.43471,1068,"Big Meadows, VA",Forest,Mountaintop,,VA28,.008,"2020-01-30 13:25:29"
SIK270,270,"Sikes Collocated",,a,EPA,LA,Winn,CE,32.0575,-92.4353,68,,Agric,Flat,,AR02,174.515,"2020-01-30 13:25:29"
SIK570,570,"Sikes Aerosol",,ain,EPA,LA,Winn,CE,32.0575,-92.4353,68,"Sikes, LA",Agric,Flat,,AR02,174.515,"2020-01-30 13:25:29"
SND152,152,"Sand Mountain",dom,,EPA,AL,DeKalb,CE,34.289001,-85.970065,349,"Crossville, AL",Agric,Rolling,Yes,AL99,.047,"2020-01-30 13:25:29"
SPD111,111,Speedwell,domp,w,EPA,TN,Claiborne,EA,36.46983,-83.826511,361,"Ausmus, TN",Agric,Rolling,Mixed,TN04,.062,"2020-01-30 13:25:29"
STK138,138,Stockton,dom,,EPA,IL,"Jo Daviess",CE,42.287216,-89.99995,281,"Stockton, IL",Agric,Rolling,Mixed,WI06,95.97,"2020-01-30 13:25:29"
SUM156,156,Sumatra,domp,w,EPA,FL,Liberty,EA,30.110226,-84.99038,16,"Sumatra, FL",Forest,Flat,Yes,FL23,.045,"2020-01-30 13:25:29"
SUM256,256,"Sumatra Collocated",,dom,EPA,FL,Liberty,EA,30.110226,-84.99038,16,,Forest,Flat,Yes,FL23,.045,"2020-01-30 13:25:29"
THR422,422,"Theodore Roosevelt NP",dom,,NPS,ND,Billings,MO,46.894844,-103.377719,850,,Forest,Rolling,Mixed,ND00,.036,"2020-01-30 13:25:29"
UIN162,162,Uinta,,domw,EPA,UT,Duchesne,MO,40.55,-110.32,2500,"Burnt Mill Spring, UT",Range,Complex,No,UT95,75.618,"2020-01-30 13:25:29"
UMA009,9,"Confederated Tribes of the Umatilla Indian Reservation",dom,,EPA,WA,Columbia,PA,46.2026,-117.9539,681,,Forest,Rolling,No,WA04,,"2020-11-09 16:09:06"
UND002,2,Underhill,dm,,EPA,VT,Chittenden,EA,44.5283,-72.8688,399,,Forest,Complex,No,VT99,.032,"2020-01-30 13:25:29"
UVL124,124,Unionville,domp,w,EPA,MI,Tuscola,EA,43.613572,-83.359869,202,"Ellington, MI",Agric,Flat,Yes,MI51,.008,"2020-01-30 13:25:29"
VII423,423,"Virgin Islands NP - Lind Pt",,dom,NPS,VI,"St. John",AT,18.3364,-64.7964,80,,Forest,Complex,No,VI01,.031,"2020-01-30 13:25:29"
VIN140,140,Vincennes,dom,,EPA,IN,Knox,EAno,38.740792,-87.484923,136,"Fritchton, IN",Agric,Rolling,Mixed,IN22,.05,"2020-01-30 13:25:29"
VOY413,413,"Voyageurs NP",dom,,NPS,MN,"St. Louis",CE,48.412518,-92.829225,429,,Forest,Rolling,Mixed,MN32,.121,"2020-01-30 13:25:29"
VPI120,120,"Blue Grass Trail",domp,,EPA,VA,Giles,EA,37.3232,-80.4572,652,,Agric,Mountaintop,No,VA13,.1924,"2020-09-02 00:00:00"
WEL149,149,Wellston,,dom,EPA,MI,Wexford,EA,44.2249,-85.8198,295,"Wellston, MI",Forest,Flat,Yes,MI53,.123,"2020-01-30 13:25:29"
WFM007,7,"Whiteface Mountain Summit",,dm,EPA,NY,Essex,EA,44.39,-73.86,1415,"Wilmington, NY",Forest,Complex,No,NY98,.37,"2020-01-30 13:25:29"
WFM105,105,"Whiteface Mountain",dm,o,EPA,NY,Essex,EA,44.39,-73.86,570,"Wilmington, NY",Forest,Complex,No,NY98,.37,"2020-01-30 13:25:29"
WNC429,429,"Wind Cave NP",dom,,NPS,SD,Custer,MO,43.557639,-103.483856,1292,,Prairie,Rolling,Mixed,SD04,.013,"2020-01-30 13:25:29"
WPA103,103,"West Point A",,dom,EPA,NY,Orange,EA,41.35,-74.05,203,,Forest,Complex,No,NY99,.181,"2020-01-30 13:25:29"
WPB104,104,"West Point B",,dom,EPA,NY,Orange,EA,41.35,-74.05,203,"Popolopen Lake, NY",Forest,Complex,No,NY99,.181,"2020-01-30 13:25:29"
WSP144,144,"Wash. Crossing",dom,,EPA,NJ,Mercer,EA,40.312303,-74.872663,59,"Pennington, NJ",Range,Rolling,Mixed,NJ99,1.656,"2020-01-30 13:25:29"
WST109,109,Woodstock,dom,,EPA,NH,Grafton,EA,43.944519,-71.700787,255,"Woodstock, NH",Forest,Complex,No,NH02,.217,"2020-01-30 13:25:29"
YEL408,408,"Yellowstone NP",dom,,NPS,WY,Teton,MO,44.565356,-110.400338,2430,,Agric,Rolling,No,WY08,39.065,"2020-01-30 13:25:29"
YOS204,204,"Yosemite NP Collocated",,o,NPS,CA,Mariposa,PA,37.7133,-119.7061,1605,,Forest,Complex,No,CA99,16.244,"2020-01-30 13:25:29"
YOS404,404,"Yosemite NP - Turtleback Dome",dom,,NPS,CA,Mariposa,PA,37.713251,-119.706196,1605,,Forest,Complex,No,CA99,16.241,"2020-01-30 13:25:29"
ZIO433,433,"Zion NP - Dalton's Wash",om,,NPS,UT,Washington,MO,37.1983,-113.1506,3997,,Desert,Complex,No,UT99,98.335,"2020-01-30 13:25:29"
